category,content,source_url,extracted_date
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/,2026-04-25 12:55
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-b22002b69eb64036379d,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-8539a8a69eb64036379d,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-0e4f10669eb64036379d,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-e7fb3c469eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-9077dfd69eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-e27ebd169eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-2ab1f2d69eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-523b07869eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-0804ebd69eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-058ffbe69eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-9ff24f769eb640365fef,2026-04-25 13:18
flex-shrink-0,"The University of Carthage has 8 research laboratories, each focused on advancing knowledge and innovation across various scientific fields. These laboratories play a critical role in conducting cutting-edge research and contribute to both national and international academic communities.",https://ucar.rnu.tn/research-laboratories/#Content-1d9378f69eb640365fef,2026-04-25 13:18
